id,titulo,organizacion,fechaInicio,fechaFin,duracion,tipoCertificacion,valoracion,nivelDificultad,numeroEstudiantes,gratuito
ABC12345,Introducción a la Programación,Universidad X,01/04/2024,30/05/2024,60,curso,4.5,Intermedio,100,true
DEF67890,Machine Learning Avanzado,Instituto Y,15/03/2024,15/06/2024,90,certificacion profesional,4.8,Avanzado,75,false
GHI13579,Marketing Digital,Academia Z,10/04/2024,20/05/2024,40,especializacion,4.2,Intermedio,120,true
JKL24680,Inglés Conversacional,Native English School,20/03/2024,20/06/2024,90,certificacion profesional,4.7,Avanzado,50,false
MNO35791,Diseño Gráfico Creativo,Escuela de Diseño A,05/04/2024,05/06/2024,60,curso,4.0,Intermedio,80,true
PQR46802,Desarrollo Web Full Stack,Bootcamp TechB,25/03/2024,30/06/2024,100,curso,4.9,Avanzado,60,false
STU57913,Finanzas Personales,Instituto de Finanzas B,15/04/2024,15/06/2024,60,especializacion,4.3,Intermedio,90,true
VWX68024,Cocina Internacional,Escuela de Gastronomía C,01/04/2024,31/05/2024,60,curso,4.6,Intermedio,70,true
YZA79135,Desarrollo de Videojuegos,Academia de Videojuegos D,10/04/2024,20/06/2024,70,curso,4.4,Avanzado,40,false
BCD80246,Yoga y Meditación,Centro de Bienestar E,15/03/2024,15/06/2024,90,certificacion profesional,4.1,Intermedio,110,true
